title	tags
RT @BruceAlrighty45: Coming⤵️ to a neighborhood near you if we don’t stop Muslims immigrating.Must ban ALL Muslims &amp; start deporting. Man…	['islam']
Wow, this is the History I was never taught in school. I'm shocked at the speed.	['islam']
RT @KhaledBeydoun: Islam is NOT - and has never been - an "Arab religion." Particularly in the U.S.In fact, Islam was predominantly pract…	['islam']
@BreitbartNews Islam spreading more love 👍	['islam']
RT @LadyLibertyInEx: NORWAY:Muslims beg Christian preacher for prayer,lure him to basement,threaten to kill him if he doesn’t convert t…	['islam']
RT @yhwhuniversity: The #Bible shows violence of ancient earth, with the answer being unblemished #Jesus the true Prince of Peace!Isaiah 9…	['Bible', 'Jesus']
@RTErdogan islam+terrorist = Turk	['islam']
@ImperioVignisto @_Monxkatherine @freezingfemitit @SynSuzy Islam isn't anti-west. Islam is anto-evil whether it com… https://t.co/fomUEtY2E5	['islam']
RT @tammob88: Of the big pull factors that led to my parents, &amp; many other immigrants, towards Europe, was the principle of freedom to prac…	['islam']
RT @LadyLibertyInEx: NORWAY:Muslims beg Christian preacher for prayer,lure him to basement,threaten to kill him if he doesn’t convert t…	['islam']
@_marymary7 @DanCrenshawTX Like the previous presidents?  This wasn’t an act of war by Saudi Arabia.  Our country d… https://t.co/HZ4ycXdbGT	['islam']
RT @KhaledBeydoun: Islam is a universal religion that supersedes racial and ethnic bounds.  The vast majority of its adherents are not Arab…	['religion', 'islam']
@Kibriah7 Indeed. However this is jot easy to do for all Muslims. Muslims in China lack the freedom to practice Isl… https://t.co/sYCYMVCIHg	['islam']
RT @brhodes: If Obama was still President, just imagine the media-amplified Republican outrage we would be hearing about not saying terrori…	['islam']
Genuinely couldn’t deal with people chatting rubbish bout Allah Islam  and black people. At least I know my religio… https://t.co/j2bquUmr4U	['islam']
@YaBoiFatMIke You’re not a Christian, you’re using theology as an excuse for a political agenda. You may as well co… https://t.co/G5KRPXwtDd	['islam']
@realDonaldTrump @marklevinshow Well sir, military tribunals are used for treason. The leftist foreign activities &amp;… https://t.co/48rrOidxBN	['islam']
RT @T_S_P_O_O_K_Y: This is a reminder that there is no "front line" for the war against radical Islam - terrorists acts can happen anywhere…	['islam']
@OmarMustie No one is disrespecting Islam. Someone made a threat on another person’s life, he should be dealt with.… https://t.co/VtULKUQ2LU	['islam']
RT @KhaledBeydoun: Islam is NOT - and has never been - an "Arab religion." Particularly in the U.S.In fact, Islam was predominantly pract…	['islam']
RT @HeshmatAlavi: Interesting to see @brhodes use the term "media-amplified."I've got two words for you, Ben:"echo chamber" https://t.c…	['islam']
@mohsaud08 About 30% of the states in the UN are radical Islam, trying all the other countries surrender by force,… https://t.co/5mdljzDjaG	['islam']
RT @WhatsRuku: This is beautiful and I’m surprised the BBC would even post such a video. It shows how small things like getting colleagues…	['islam']
RT @JulieReichwein1: Laura Loomer on Islam in America-Video https://t.co/bG6uSD4cRbPlz Support Loomer4Congress $$$PLEASE RETWEET	['islam']
@RajwaniNadeem @carin__fischer I support Jeremy Corbyn if he supports my trisha bubbles foundation home for orphans… https://t.co/SlTqkbLcfL	['islam']
Americans,  Don't ever allow anyone to disarm you. If you do, genocide will follow. It may not be your generation,… https://t.co/4KdauTVolS	['islam']
RT @Boerboelguard: Erdogan you moron, Islam produces more terrorists than every other religion put together  - Erdogan: A Muslim cannot be…	['religion', 'islam']
RT @MrOdanz: A Muslim group/client made a request for a Quran-themed cake.The baker made and delivered the cake and clients are happy.But…	['islam']
RT @thevijaymahajan: You say IslamI hear TerrorismYou say Love.I hear Love JihadYou say Raped &amp; Killed.I hear Islamic PiecefulsYou…	['islam']
